id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,days_since_prev_campaign_contact,num_contacts_prev_campaign,prev_campaign_outcome,y
26367,28.0,4,2,2,0,285.0,1,0,0,26,6,303.0,4.0,,0,3,0
17403,34.0,1,1,1,0,934.0,0,1,0,18,9,143.0,2.0,132.0,1,1,0
418,46.0,9,1,1,0,656.0,0,0,0,5,3,101.0,4.0,,0,3,0
26468,34.0,7,2,1,0,2.0,1,0,0,20,8,127.0,3.0,,0,3,0
24163,41.0,1,1,0,0,1352.0,1,0,0,13,8,49.0,2.0,,0,3,0
2081,65.0,5,1,0,0,2880.0,0,0,0,23,0,163.0,1.0,,0,3,1
24307,57.0,1,1,0,0,495.0,0,0,0,18,1,687.0,4.0,,0,3,1
19607,37.0,4,1,2,0,650.0,1,0,0,26,8,210.0,1.0,,0,3,0
19331,29.0,9,1,1,0,265.0,1,0,0,19,1,160.0,2.0,,0,3,0
3135,50.0,1,1,1,0,407.0,1,1,0,7,1,233.0,2.0,,0,3,0
8997,52.0,1,1,2,0,1779.0,0,0,0,19,9,1195.0,3.0,160.0,1,0,0
6130,35.0,9,2,1,0,5212.0,1,0,0,7,8,303.0,2.0,,0,3,0
20510,18.0,1,2,1,0,420.0,1,0,0,16,0,478.0,1.0,,0,3,1
25929,50.0,4,1,1,0,4873.0,0,0,1,6,3,381.0,6.0,213.0,9,0,0
28360,55.0,1,1,0,0,762.0,0,0,0,18,6,66.0,1.0,,0,3,0
1750,42.0,4,1,2,0,55.0,1,0,0,17,9,57.0,1.0,126.0,3,0,0
7168,37.0,1,2,0,0,3.0,0,0,0,5,6,21.0,1.0,,0,3,0
16870,41.0,9,1,1,0,-3.0,1,0,0,16,0,138.0,1.0,300.0,1,0,0
5758,41.0,7,1,1,0,-145.0,0,1,0,6,6,201.0,1.0,,0,3,0
17702,53.0,5,0,1,1,-204.0,0,1,0,6,6,176.0,1.0,,0,3,0
1451,58.0,1,1,1,0,1.0,0,1,0,22,5,138.0,2.0,,0,3,0
5124,70.0,5,0,0,0,479.0,0,0,0,2,5,241.0,2.0,,0,3,1
30668,34.0,1,1,0,0,3.0,1,0,0,21,8,49.0,2.0,,0,3,0
4527,31.0,4,2,2,0,3.0,1,0,0,9,8,80.0,3.0,,0,3,0
17664,41.0,2,1,0,0,150.0,0,0,0,20,1,75.0,2.0,,0,3,0
31172,34.0,7,2,1,0,1038.0,0,1,0,3,5,89.0,1.0,,0,3,0
21233,28.0,7,2,0,0,340.0,0,0,0,4,5,,3.0,,0,3,1
19403,38.0,9,0,1,0,528.0,0,0,0,29,4,212.0,3.0,226.0,7,0,0
29095,45.0,0,2,1,0,10390.0,1,0,0,20,9,101.0,1.0,,0,3,0
13790,33.0,0,2,1,0,54.0,0,0,0,29,4,399.0,1.0,,0,3,0
6648,25.0,8,2,2,0,192.0,0,0,0,3,0,57.0,2.0,,0,3,0
